sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
2400,161,2400,3300,0,0,0,1.0,
2400,162,2400,3300,0,0,0,0.0,
2400,163,2400,3300,0,1,0,0.0,
2400,164,2400,3300,0,0,0,4.0,
2400,170,2400,3300,1,1,0,2.0,
2400,43,2400,3300,0,0,0,1.0,
2400,186,2400,3300,0,0,0,6.999999999999999,
2400,68,2400,3300,0,3,0,2.0,
2400,75,2400,3300,0,0,0,1.0,
2400,79,2400,3300,4,4,0,5.0,
2400,211,2400,3300,1,1,0,0.0,
2400,90,2400,3300,1,1,0,3.0,
2400,100,2400,3300,0,0,0,1.0,
2400,230,2400,3300,0,2,0,2.0,
2400,231,2400,3300,1,1,0,1.0,
2400,233,2400,3300,1,1,0,1.0,
2400,234,2400,3300,0,0,0,1.0,
2400,107,2400,3300,0,0,0,3.0,
2400,236,2400,3300,0,1,0,4.0,
2400,238,2400,3300,0,0,0,1.0,
2400,239,2400,3300,0,2,0,1.0,
2400,113,2400,3300,1,1,0,1.0,
2400,114,2400,3300,0,0,0,0.0,
2400,249,2400,3300,1,1,0,2.0,
2400,125,2400,3300,0,0,0,0.0,
2400,4,2400,3300,2,2,0,,
2400,12,2400,3300,0,0,0,,
2400,24,2400,3300,0,1,0,,
2400,41,2400,3300,0,0,0,,
2400,42,2400,3300,2,2,0,,
2400,45,2400,3300,0,0,0,,
2400,48,2400,3300,2,2,0,,
2400,50,2400,3300,0,0,0,,
2400,74,2400,3300,1,1,0,,
2400,87,2400,3300,2,7,0,,
2400,88,2400,3300,2,4,0,,
2400,116,2400,3300,1,1,0,,
2400,120,2400,3300,1,1,0,,
2400,127,2400,3300,0,0,0,,
2400,128,2400,3300,0,0,0,,
2400,143,2400,3300,1,1,0,,
2400,152,2400,3300,0,2,0,,
2400,153,2400,3300,0,0,0,,
2400,166,2400,3300,0,2,0,,
2400,194,2400,3300,0,0,0,,
2400,209,2400,3300,1,1,0,,
2400,224,2400,3300,0,0,0,,
2400,229,2400,3300,0,0,0,,
2400,232,2400,3300,0,0,0,,
2400,237,2400,3300,0,0,0,,
2400,243,2400,3300,1,8,0,,
2400,244,2400,3300,0,0,0,,
2400,246,2400,3300,0,0,0,,
2400,261,2400,3300,0,0,0,,
2400,262,2400,3300,1,1,0,,
2400,263,2400,3300,0,0,0,,
2700,137,2700,3600,0,0,0,1.0,
2700,140,2700,3600,0,0,0,1.0,
2700,13,2700,3600,1,1,0,1.0,
2700,142,2700,3600,1,4,0,0.0,
2700,141,2700,3600,0,0,0,4.0,
2700,144,2700,3600,1,1,0,0.0,
2700,148,2700,3600,2,2,0,2.0,
2700,151,2700,3600,0,0,0,1.0,
2700,158,2700,3600,0,0,0,0.0,
2700,161,2700,3600,0,0,0,1.0,
2700,162,2700,3600,0,0,0,0.0,
2700,163,2700,3600,0,1,0,0.0,
2700,164,2700,3600,0,0,0,4.0,
2700,170,2700,3600,1,1,0,2.0,
2700,43,2700,3600,0,0,0,1.0,
2700,186,2700,3600,0,0,0,7.0,
2700,68,2700,3600,1,3,0,2.0,
2700,75,2700,3600,0,0,0,1.0,
2700,79,2700,3600,3,4,0,5.0,
2700,211,2700,3600,1,1,0,0.0,
2700,90,2700,3600,1,1,0,3.0,
2700,100,2700,3600,0,0,0,1.0,
2700,230,2700,3600,0,3,0,2.0,
2700,231,2700,3600,2,2,0,1.0,
2700,233,2700,3600,1,1,0,1.0,
2700,234,2700,3600,0,0,0,1.0,
2700,107,2700,3600,0,0,0,3.0,
2700,236,2700,3600,0,1,0,4.0,
2700,238,2700,3600,0,0,0,1.0,
2700,239,2700,3600,0,1,0,1.0,
2700,113,2700,3600,1,1,0,1.0,
2700,114,2700,3600,0,0,0,0.0,
2700,249,2700,3600,2,2,0,2.0,
2700,125,2700,3600,0,0,0,0.0,
2700,4,2700,3600,2,2,0,,
2700,12,2700,3600,0,0,0,,
2700,24,2700,3600,1,1,0,,
2700,41,2700,3600,0,0,0,,
2700,42,2700,3600,2,2,0,,
2700,45,2700,3600,0,0,0,,
2700,48,2700,3600,3,3,0,,
2700,50,2700,3600,0,0,0,,
2700,74,2700,3600,1,1,0,,
2700,87,2700,3600,4,6,0,,
2700,88,2700,3600,0,3,0,,
2700,116,2700,3600,3,3,0,,
2700,120,2700,3600,1,1,0,,
2700,127,2700,3600,0,0,0,,
2700,128,2700,3600,0,0,0,,
2700,143,2700,3600,1,1,0,,
2700,152,2700,3600,2,3,0,,
2700,153,2700,3600,0,0,0,,
2700,166,2700,3600,1,1,0,,
2700,194,2700,3600,0,0,0,,
2700,209,2700,3600,1,1,0,,
2700,224,2700,3600,0,0,0,,
2700,229,2700,3600,0,0,0,,
2700,232,2700,3600,0,0,0,,
2700,237,2700,3600,0,0,0,,
2700,243,2700,3600,4,8,0,,
2700,244,2700,3600,0,0,0,,
2700,246,2700,3600,0,0,0,,
2700,261,2700,3600,0,0,0,,
2700,262,2700,3600,1,1,0,,
2700,263,2700,3600,0,0,0,,
3000,137,3000,3900,0,0,0,1.0,
3000,141,3000,3900,0,0,0,3.0,
3000,142,3000,3900,1,4,0,1.0,
3000,143,3000,3900,1,1,0,1.0,
3000,144,3000,3900,1,1,0,1.0,
3000,148,3000,3900,1,1,0,1.0,
3000,158,3000,3900,0,0,0,0.0,
3000,161,3000,3900,0,0,0,1.0,
3000,162,3000,3900,0,0,0,2.0,
3000,163,3000,3900,0,1,0,1.0,
3000,164,3000,3900,0,0,0,3.0,
3000,170,3000,3900,2,2,0,2.0,
3000,48,3000,3900,2,2,0,4.0,
3000,186,3000,3900,0,0,0,3.0,
3000,68,3000,3900,0,3,0,1.0,
3000,74,3000,3900,1,1,0,2.0,
3000,79,3000,3900,0,2,0,4.0,
3000,209,3000,3900,1,1,0,0.0,
3000,211,3000,3900,1,1,0,1.0,
3000,87,3000,3900,4,7,0,0.0,
3000,90,3000,3900,1,1,0,1.0,
3000,100,3000,3900,0,0,0,2.0,
3000,229,3000,3900,0,0,0,0.0,
3000,230,3000,3900,0,3,0,1.0,
3000,234,3000,3900,0,0,0,4.0,
3000,107,3000,3900,0,0,0,5.0,
3000,237,3000,3900,0,0,0,1.0,
3000,239,3000,3900,0,4,0,1.0,
3000,113,3000,3900,1,1,0,0.0,
3000,114,3000,3900,0,0,0,0.0,
3000,249,3000,3900,2,2,0,0.0,
3000,125,3000,3900,1,1,0,0.0,
3000,4,3000,3900,1,4,0,,
3000,12,3000,3900,0,0,0,,
3000,13,3000,3900,1,1,0,,
3000,24,3000,3900,0,1,0,,
3000,41,3000,3900,0,0,0,,
3000,42,3000,3900,2,2,0,,
3000,43,3000,3900,0,0,0,,
